team,elo_rating
Spain,2077.3815095871432
Argentina,2076.1967255377435
France,2030.2629396411774
Brazil,1992.95537739948
England,1985.20050347438
Colombia,1959.268648416706
Japan,1938.1194391772515
Netherlands,1929.0520903734455
Portugal,1927.9376290866398
Ecuador,1921.7031970447272
Germany,1910.8185393093786
Morocco,1907.1049239603094
Uruguay,1901.7640685174522
Belgium,1896.0733367914447
Croatia,1892.0146951047402
Mexico,1871.665590268375
Iran,1870.161967346641
Switzerland,1861.8639303139464
South Korea,1858.9177908988809
Senegal,1857.7684578973374
Australia,1856.222922011366
Canada,1829.3557368835816
Turkey,1827.6755792250292
Italy,1825.4967040481818
Norway,1821.9733907595844
Paraguay,1821.7194650165263
Denmark,1821.1794685429124
Algeria,1817.931352518018
Uzbekistan,1792.282779627846
Austria,1786.4578659026922
United States,1782.5384872297602
Panama,1781.974821570505
Nigeria,1776.1584400715187
Ukraine,1768.3146745037857
Russia,1767.9803204873087
Egypt,1766.7072060838282
Ivory Coast,1761.5090128925008
Tunisia,1760.9727948955474
Jersey,1755.355044856174
Jordan,1734.6765653823952
New Zealand,1734.1400716563342
Iraq,1733.5253543057745
Scotland,1726.4141143561044
Venezuela,1724.5966132155002
Guernsey,1719.6837978038684
Serbia,1719.255708999467
Costa Rica,1719.215240097462
Chile,1717.5701959511234
DR Congo,1712.56624409561
Poland,1710.6634713377566
Peru,1704.9786997780018
Czech Republic,1698.327812013369
Mali,1695.5946632093621
Greece,1690.958115661157
Wales,1688.326313221572
Cameroon,1687.4649214428132
Sweden,1682.4973408860965
Hungary,1681.4203507283476
Saudi Arabia,1676.0976661121574
Haiti,1673.1801433516903
Bolivia,1669.6933550860786
Republic of Ireland,1667.2541591163633
United Arab Emirates,1664.1515568308075
Burkina Faso,1661.4652920753576
Isle of Man,1659.512229717762
Slovakia,1656.8417809966456
Padania,1655.2117811604628
Jamaica,1651.0039686573716
Ghana,1649.7575067845034
Honduras,1649.0825254122171
Slovenia,1648.5640264079198
Cape Verde,1648.0848221002248
Basque Country,1644.154815202811
Kosovo,1636.4782375671014
Northern Cyprus,1636.0185478019414
Guatemala,1626.4676911555623
Occitania,1622.7752367485546
South Africa,1622.334780169509
Isle of Wight,1610.3048662626304
Romania,1608.3440670048099
Albania,1607.2770816084371
Syria,1606.0779340500465
New Caledonia,1604.746100876439
Oman,1603.1187329779953
Réunion,1599.6946386027444
Curaçao,1597.9966933289013
Ynys Môn,1597.9755144053681
Yugoslavia,1596.0285125355915
Qatar,1595.116442508369
Czechoslovakia,1594.6219300871228
Georgia,1593.40954464707
Iraqi Kurdistan,1592.4015933853677
Catalonia,1590.81393252993
Palestine,1584.707973248004
Abkhazia,1583.2461245900288
Israel,1580.2543846343656
North Macedonia,1571.7009700480646
Northern Ireland,1569.9346962247741
Bosnia and Herzegovina,1568.952651732305
Kernow,1568.386267865559
Suriname,1565.9839683501414
Guinea,1565.391680225974
Iceland,1560.888610756738
Kárpátalja,1558.7192958968005
Andalusia,1557.2907516610999
Finland,1556.3848693938444
Panjab,1556.1256088044895
Rhodes,1554.7577586423647
Menorca,1553.170752531784
Thailand,1552.47442979558
China PR,1552.0567069617973
Tamil Eelam,1550.1793553026437
Gabon,1549.9452019782766
Ellan Vannin,1549.3964801441316
Benin,1548.5031682746944
County of Nice,1547.0868450364906
Angola,1545.9706472978955
Trinidad and Tobago,1541.7742917971016
Bahrain,1541.400915776019
Guadeloupe,1540.9997801628444
Kurdistan,1538.3157239406414
Libya,1535.9913260076576
Yorkshire,1535.4296898979926
Artsakh,1534.471697077991
Quebec,1530.388255271686
Uganda,1529.7990119439705
German DR,1529.526594774389
Chameria,1528.7772245122053
Tahiti,1526.7046495636937
Cascadia,1524.996266573679
Arameans Suryoye,1524.0384671132308
Zambia,1523.8725915595558
North Korea,1521.7359243718906
Martinique,1520.9611785559161
Corsica,1516.6131794569849
Maule Sur,1515.5336511477506
Surrey,1511.2497213715676
Western Armenia,1510.779724915394
Parishes of Jersey,1509.6003603168883
Biafra,1507.9434000575807
Gambia,1507.28545023924
Donetsk PR,1506.3951641766353
Galicia,1506.3661531753132
Elba Island,1505.6315327157756
Canary Islands,1505.5993185086056
United Koreans in Japan,1505.3088340079696
Crimea,1504.9340152796233
Zanzibar,1504.3357577230897
Mapuche,1504.276261389227
El Salvador,1503.3919456336398
Fiji,1503.28148210369
Madagascar,1503.077335511886
Shetland,1502.373603993236
Sápmi,1502.1940314483693
Silesia,1501.7881828586874
Brittany,1501.7034007029465
Délvidék,1501.6987175892382
Felvidék,1500.657751167427
Saugeais,1497.2432578270202
Sealand,1496.8646267130346
Nicaragua,1496.201823936815
Indonesia,1494.9831861175448
Franconia,1494.6996272587091
Cilento,1493.645781263471
Luhansk PR,1492.9136215377284
Madrid,1492.6848315150344
Seborga,1491.613452176968
Yoruba Nation,1491.5956299191914
French Guiana,1490.9771062072655
Matabeleland,1490.890500667766
Republic of St. Pauli,1489.8610122293921
Malaysia,1489.5397543396832
Mozambique,1488.4094765635018
Åland Islands,1488.3617093684477
Somaliland,1486.8276784347206
Guyana,1486.6572543382572
Vietnam,1485.5882103642214
West Papua,1484.3746221127394
Ryūkyū,1483.681745034053
East Turkestan,1483.6404972652786
Greenland,1482.9064336194813
Provence,1480.9109215721485
Lebanon,1480.4789292413077
Tajikistan,1480.2485338357944
Aymara,1480.1900874630223
Székely Land,1479.8223516439969
Dominican Republic,1479.6067422814383
Hmong,1479.4828210225369
Belarus,1479.333277516561
Niger,1478.7191938984538
Gozo,1478.4497073522894
South Ossetia,1477.8862666385928
Romani people,1476.6872323827733
Sierra Leone,1475.3321321224298
Gotland,1475.0690324215616
Vanuatu,1474.2905530812293
Kabylia,1473.7765713642364
Kyrgyzstan,1473.5846368299533
Mayotte,1473.1033290730318
Bulgaria,1470.6525886291442
Papua New Guinea,1470.3383811001065
Kenya,1470.285940097321
Monaco,1468.9145924340112
Sudan,1468.4055476597516
Chechnya,1468.1494591942853
Palau,1466.8946315918397
Găgăuzia,1466.0671922724282
Kuwait,1465.891494767727
Solomon Islands,1462.5468403826087
Western Isles,1461.7840639659048
Saint Barthélemy,1461.7698727772138
Ticino,1460.7957813386888
Marshall Islands,1458.2191789800108
Namibia,1458.032474890334
Togo,1457.4832200129379
Zimbabwe,1455.8761950436465
Two Sicilies,1451.116371144035
Equatorial Guinea,1451.0124859324942
Vatican City,1450.533478348987
Cuba,1446.7456783878351
Montenegro,1446.492471180235
Western Sahara,1445.590005152169
Comoros,1442.1148157812147
Malawi,1439.8413219298964
Ambazonia,1438.222031656923
Liberia,1434.771175924292
Kazakhstan,1427.6678107861794
Rwanda,1427.6348586264453
Orkney,1426.9845316204348
Turkmenistan,1424.4837935007295
Mauritania,1419.4817547668572
Tanzania,1418.616538711394
Saint Helena,1414.6842679546626
Raetia,1413.7700586811586
Lesotho,1411.718894830126
Wallis Islands and Futuna,1411.4294690599959
Chagos Islands,1411.3598556758202
Puerto Rico,1410.0994915759134
Barawa,1407.5277972127342
Botswana,1401.601852298323
Micronesia,1399.5427767278952
Sark,1399.2588670475272
Burundi,1398.581767983335
Hitra,1398.0999769159066
Ethiopia,1398.088863076407
Armenia,1398.02490664548
Guinea-Bissau,1386.045231889256
Sint Maarten,1380.5355436793807
Saint Pierre and Miquelon,1379.4656180462346
Saare County,1375.4857173281075
Central African Republic,1373.5676274717869
Luxembourg,1371.990708156871
Kiribati,1371.1990604859886
Saint Vincent and the Grenadines,1369.7851773827097
Congo,1367.289167694611
Saint Martin,1361.8790735879486
Darfur,1361.1350468365201
Philippines,1359.621901210874
Hong Kong,1357.8400342448567
Yemen,1356.6287033125275
Azerbaijan,1354.4005284273949
Bermuda,1351.1577468595588
Saint Kitts and Nevis,1346.2629404624402
Estonia,1343.4497558527885
Tibet,1339.1833279475009
Singapore,1335.3345055661505
Grenada,1329.7589577360845
Belize,1326.8364410079073
Eswatini,1326.1529670193113
Faroe Islands,1323.6421731434348
Samoa,1323.6303529848994
Tuvalu,1323.4910819271113
India,1314.696839463234
Afghanistan,1313.1453787564215
Falkland Islands,1312.3895157993682
Frøya,1303.9001311866891
Lithuania,1302.014723437037
Latvia,1300.469688278904
South Sudan,1298.8167443559764
Saint Lucia,1297.3230953791044
Montserrat,1295.165036696171
Bonaire,1293.7980864824076
Cyprus,1291.449450374878
Aruba,1278.195546485345
Chad,1263.2856926903546
Dominica,1258.9554719926198
Eritrea,1258.8538064079337
Antigua and Barbuda,1254.3668900121613
Malta,1250.4403886970908
Mauritius,1249.0732210444062
Cook Islands,1242.114787256454
São Tomé and Príncipe,1238.7040165480657
Barbados,1233.34000832418
Moldova,1227.2613057523183
Alderney,1213.3042149203984
Tonga,1208.143358942924
Myanmar,1195.248075703108
Bangladesh,1190.5692294300088
Nepal,1183.743773624911
Cayman Islands,1179.1514686905944
Northern Mariana Islands,1172.414223174627
Turks and Caicos Islands,1149.9235313700733
Maldives,1143.5653447325135
Somalia,1141.91080404441
Taiwan,1137.5711790012292
Mongolia,1133.12311797531
Bahamas,1129.5877057114208
American Samoa,1129.2213990851255
Cambodia,1128.660936932517
British Virgin Islands,1124.9401937736327
Djibouti,1113.216637953409
Pakistan,1112.3286581773548
Guam,1109.0334796035695
Sri Lanka,1102.7842988335144
United States Virgin Islands,1102.2393060562927
Gibraltar,1097.0158639606273
Andorra,1080.626791431588
Seychelles,1078.7852158207709
Brunei,1049.2763269023037
Laos,1046.4003133267709
Anguilla,1043.914618711174
Timor-Leste,1031.6184909866763
Bhutan,1015.7357752177759
Liechtenstein,999.2453870806029
Macau,992.2745089849343
San Marino,853.8744788604863
